Number of Iterations,Total Nodes,Nodes in Actual Path,Path Length
345,212,54,53.0
168,123,51,50.0
242,118,56,55.0
168,134,54,53.0
261,191,52,51.0
299,208,53,52.0
475,213,58,56.99999999999999
416,287,68,67.0
251,177,56,55.0
369,235,55,54.0
413,146,52,50.99999999999999
225,147,55,54.0
467,241,60,59.0
283,159,56,55.0
365,256,56,55.0
339,207,61,59.99999999999999
224,163,62,61.0
343,207,60,58.99999999999999
318,177,54,53.0
239,168,51,50.0
233,160,55,54.00000000000001
421,229,54,53.0
367,233,53,52.0
558,321,65,64.0
307,188,57,56.0
251,161,51,50.0
443,274,61,60.0
240,185,57,56.0
229,180,54,53.0
316,212,57,56.0
425,309,55,54.0
213,130,54,53.0
522,241,57,56.0
248,186,54,52.99999999999999
238,187,56,55.0
277,169,59,58.0
236,178,60,59.0
187,139,52,51.0
324,162,55,54.0
357,219,64,63.0
330,170,59,58.0
374,265,55,54.0
242,171,54,53.0
234,148,54,53.0
258,196,55,54.0
360,199,55,54.0
256,200,55,54.0
228,195,56,55.0
210,132,53,52.0
312,159,54,53.0
285,189,52,51.0
250,188,52,51.0
196,144,55,54.0
299,210,57,56.0
237,153,62,61.0
491,308,57,56.0
223,153,57,56.0
453,261,54,53.0
364,214,58,57.0
243,157,56,55.0
265,183,55,54.0
210,131,53,52.0
245,121,53,52.0
269,179,54,53.0
270,181,56,55.0
526,300,70,69.0
218,161,54,52.99999999999999
281,198,52,50.99999999999999
427,313,56,55.0
321,213,59,58.0
296,216,62,61.0
281,128,55,54.0
253,143,54,53.0
180,123,58,57.0
249,186,58,57.0
228,122,52,51.0
271,175,53,52.0
242,155,52,51.0
277,191,52,50.99999999999999
225,149,53,52.0
338,216,60,59.0
399,301,55,54.0
263,160,55,54.0
352,215,56,55.0
234,174,57,56.0
496,301,60,58.99999999999999
401,227,51,50.0
271,202,60,59.0
277,202,56,55.0
305,218,53,52.0
287,160,57,56.0
268,164,55,54.0
303,175,51,50.0
328,222,51,50.0
310,157,57,56.0
208,129,51,50.0
292,173,58,57.0
413,213,53,52.00000000000001
260,144,54,53.0
211,113,54,53.0
293,224,55,54.0
385,192,52,50.99999999999999
277,206,58,56.99999999999999
235,174,56,55.0
310,196,61,60.0
286,162,54,53.0
271,168,54,53.0
348,193,60,59.0
274,140,54,53.0
372,246,58,57.0
234,153,57,56.0
436,260,50,49.0
405,278,54,53.0
149,117,56,55.0
308,214,61,60.0
301,167,57,56.0
227,116,60,59.0
290,185,59,57.99999999999999
299,222,56,55.0
325,206,55,54.0
425,239,64,63.0
261,180,56,55.0
212,167,61,60.0
213,153,53,52.0
219,134,55,54.0
423,282,54,53.00000000000001
331,224,56,55.0
406,242,69,68.0
368,197,57,56.0
255,194,56,55.0
296,250,58,57.0
326,211,54,53.0
532,264,62,61.0
279,155,61,60.0
332,222,53,51.99999999999999
247,176,55,54.0
379,214,66,65.0
304,160,53,52.0
238,205,54,53.0
216,140,60,59.0
211,167,53,52.0
271,130,55,54.0
323,215,53,52.0
298,193,54,53.0
241,164,57,56.0
369,188,52,51.0
340,187,55,54.0
269,178,54,53.0
251,152,56,55.0
296,171,54,53.0
530,359,61,60.0
305,157,64,63.0
291,197,53,52.0
337,186,56,55.0
267,175,56,55.0
284,180,57,56.0
370,228,61,60.0
219,177,53,52.0
255,159,57,56.0
223,155,57,56.0
328,208,61,60.0
252,147,54,52.99999999999999
199,130,55,53.99999999999999
257,171,58,57.0
336,235,56,55.0
338,218,58,57.0
270,164,54,53.0
304,176,58,57.0
391,208,52,51.0
182,138,56,55.0
256,163,52,51.0
278,186,64,63.0
396,163,70,69.0
211,162,53,52.0
350,241,55,54.0
288,204,56,55.0
275,180,54,53.0
392,223,54,53.0
393,183,54,53.0
346,257,52,51.0
321,180,52,51.0
214,138,55,54.0
321,184,62,60.99999999999999
371,149,56,55.0
260,189,59,58.0
312,227,56,55.0
309,164,54,53.0
293,227,60,58.99999999999999
318,191,54,52.99999999999999
299,185,61,60.0
269,164,58,57.0
377,270,58,57.0
347,212,55,54.0
248,166,60,59.0
563,378,63,62.0
236,164,53,52.0
221,161,55,54.0
314,205,55,54.0
281,190,56,55.0
378,227,64,63.0
338,208,51,50.0
272,185,61,60.0
306,202,58,57.0
331,196,60,58.99999999999999
283,138,61,60.0
253,147,58,57.0
410,288,63,62.0
413,245,67,66.0
359,261,54,52.99999999999999
372,269,58,57.0
311,214,55,54.0
326,164,56,55.0
343,218,55,54.0
231,132,55,54.0
341,252,58,57.0
175,131,55,54.0
220,173,59,57.99999999999999
259,184,56,55.0
224,145,53,51.99999999999999
365,228,59,58.0
227,168,52,51.0
216,126,57,56.0
227,153,54,53.0
319,235,53,52.00000000000001
235,124,55,54.0
312,205,75,74.0
249,131,55,54.0
319,207,58,57.0
213,134,54,53.0
256,164,60,59.0
334,192,53,52.0
293,190,52,51.0
229,155,56,55.0
245,138,55,54.0
230,157,53,52.0
336,225,55,54.00000000000001
325,183,55,54.0
213,141,51,50.0
258,181,56,55.0
242,171,55,54.0
411,148,54,53.0
407,289,57,56.0
369,241,54,52.99999999999999
239,131,54,53.0
198,144,53,51.999999999999986
217,154,55,54.0
406,299,52,50.99999999999999
221,147,52,51.0
254,170,54,53.0
487,249,56,55.0
455,307,61,60.0
180,119,53,52.00000000000001
245,164,62,61.0
198,130,52,51.0
388,232,60,59.0
407,184,57,56.0
295,182,54,53.0
305,200,65,64.0
219,153,54,53.0
323,201,56,55.0
253,202,55,54.00000000000001
261,166,63,62.0
281,199,59,58.0
275,151,57,56.0
372,240,53,52.0
314,217,60,59.0
516,343,62,61.0
349,234,54,53.0
265,139,59,58.0
244,174,53,52.0
191,138,53,52.0
396,243,66,65.0
234,149,56,55.0
273,129,57,56.0
316,179,53,52.0
249,159,59,58.0
391,274,55,54.0
376,275,64,63.0
308,230,52,51.0
400,181,54,53.0
216,174,51,50.0
263,175,56,55.0
260,181,51,50.0
334,213,56,55.0
448,280,57,55.99999999999999
274,208,52,51.0
236,195,55,54.0
359,257,64,62.99999999999999
310,175,52,51.0
196,145,56,55.0
481,286,59,58.0
255,165,57,56.0
346,254,60,58.99999999999999
290,206,57,56.0
193,116,54,53.0
444,210,61,60.0
302,147,58,57.0
315,224,60,59.0
215,163,55,54.0
595,289,58,57.0
266,161,56,54.999999999999986
