Number of Iterations,Total Nodes,Nodes in Actual Path,Path Length
672,610,56,54.99999999999999
376,339,56,55.0
471,418,59,58.0
1246,1108,69,68.0
330,287,60,58.99999999999999
954,872,55,54.0
431,375,56,55.0
412,376,56,55.0
808,688,63,62.0
1360,1204,56,55.0
541,451,59,58.0
389,311,54,53.0
484,449,56,55.0
943,839,59,58.0
387,360,56,55.0
1782,1657,59,57.99999999999999
815,767,57,56.0
966,892,58,57.0
313,286,58,57.0
612,561,64,63.0
634,478,61,60.0
631,573,60,59.0
497,403,65,63.99999999999999
435,406,54,53.0
582,498,57,56.0
1057,929,62,61.0
974,872,65,64.0
367,332,56,55.0
406,322,55,54.0
776,633,70,69.0
424,379,56,55.0
678,616,59,58.0
927,818,59,58.0
1065,995,62,61.0
438,356,55,54.0
769,697,57,56.0
557,510,56,55.0
421,366,56,55.0
385,324,61,60.0
544,452,60,59.0
642,577,60,59.0
712,632,55,54.0
724,655,58,57.0
448,415,53,52.0
314,300,58,57.0
1405,1301,59,58.0
975,866,59,58.0
426,313,69,68.0
276,214,55,54.0
559,483,71,70.0
472,402,57,56.0
764,704,58,57.0
623,514,53,52.0
526,458,61,60.0
719,652,60,59.0
774,650,57,56.0
489,407,55,54.0
881,731,58,57.0
1189,1087,58,56.99999999999999
773,688,58,57.0
368,325,60,59.0
759,674,57,56.0
516,442,54,53.0
1629,1513,63,62.0
1026,887,66,65.0
902,792,59,58.0
1370,1226,61,60.0
1609,1468,65,64.0
981,874,63,62.0
455,398,62,61.0
805,709,57,56.0
692,616,55,54.0
482,392,58,57.0
713,593,62,61.0
678,615,60,59.0
691,611,60,59.0
765,695,55,54.0
833,778,59,58.0
403,363,58,57.0
388,333,58,56.99999999999999
313,279,56,55.0
464,370,58,57.0
507,442,54,53.0
344,307,54,53.0
293,215,55,54.0
467,398,57,55.99999999999999
577,477,66,65.0
390,300,61,60.0
869,765,61,60.0
1259,1093,74,73.0
431,308,63,62.0
340,302,56,55.0
298,262,53,52.0
1097,992,58,57.0
690,623,56,55.0
640,559,58,57.0
777,655,59,58.0
1116,1012,66,65.0
491,384,68,67.0
572,533,59,58.0
543,470,58,57.0
460,439,59,58.0
489,452,58,57.0
854,766,60,59.0
564,465,63,62.0
654,614,55,54.0
595,478,55,53.99999999999999
622,562,57,56.00000000000001
810,729,67,66.0
542,487,59,58.0
333,303,54,53.0
373,327,56,55.0
930,844,60,59.0
620,574,58,57.0
680,639,57,56.0
644,566,62,61.0
624,567,63,62.0
355,332,56,55.0
597,541,60,58.99999999999999
804,715,53,52.0
1304,1202,59,58.0
338,276,56,55.0
489,446,55,54.0
819,747,55,54.0
798,716,56,55.0
296,251,55,54.0
715,621,57,56.0
380,312,58,57.0
565,493,56,55.0
341,312,59,58.0
503,421,68,67.0
301,253,55,53.99999999999999
1361,1252,55,54.0
466,384,62,60.99999999999999
1770,1635,60,59.0
630,515,57,56.0
645,571,54,53.0
443,383,61,60.0
2265,2081,63,62.0
477,428,53,52.0
1037,961,61,60.00000000000001
1268,1166,61,60.0
638,568,58,57.0
956,879,68,67.0
438,347,59,58.0
1406,1290,61,59.99999999999999
513,442,60,59.0
976,876,55,54.0
752,653,54,53.0
529,447,56,54.99999999999999
2101,1931,62,61.0
1203,1107,55,54.0
471,426,60,59.0
485,414,56,55.0
484,389,61,60.0
937,866,61,60.0
1202,1067,65,64.0
667,618,61,60.0
487,404,55,53.99999999999999
1159,989,70,69.0
311,259,56,55.0
494,454,59,58.0
504,455,57,56.0
850,787,56,55.0
1164,1033,58,57.0
1003,932,56,55.0
744,658,60,59.0
689,618,61,60.0
876,771,69,68.0
534,454,58,57.0
891,830,58,57.0
503,442,58,57.0
602,511,57,56.0
440,394,56,55.0
667,609,60,59.0
496,431,52,51.0
555,521,57,56.0
533,485,57,56.0
438,380,58,57.0
739,667,58,57.0
619,566,54,53.0
972,833,56,55.0
580,539,64,63.0
881,727,62,60.99999999999999
850,771,55,53.99999999999999
552,415,64,63.0
651,581,57,56.0
498,439,56,54.99999999999999
613,586,56,55.0
985,853,69,68.0
480,417,61,60.0
667,605,64,62.99999999999999
583,547,58,57.0
762,693,64,63.0
811,742,56,55.0
766,697,55,54.0
236,220,54,53.0
412,354,59,58.0
418,349,58,57.0
315,278,55,54.0
498,455,55,54.0
495,439,54,53.0
395,339,54,53.0
1210,1160,64,63.0
545,448,66,65.0
315,293,53,52.0
495,465,60,59.0
992,877,60,59.0
558,467,60,59.0
500,425,59,58.0
695,620,57,56.0
641,567,53,52.0
757,704,58,57.0
413,374,54,53.0
763,686,58,57.0
815,707,58,57.0
614,498,57,56.0
559,460,69,68.0
821,736,58,57.0
629,504,55,54.0
809,711,58,57.0
726,673,56,55.0
2157,2014,53,51.99999999999999
349,283,61,60.0
617,552,52,51.0
678,620,59,57.99999999999999
1194,1086,71,70.0
612,550,62,61.0
503,415,60,59.0
834,752,56,55.0
666,600,58,57.0
884,794,60,59.0
397,364,59,58.0
1242,1123,60,59.0
696,620,58,56.99999999999999
514,401,59,57.99999999999999
358,318,58,57.0
777,684,58,57.0
342,274,57,56.0
475,368,60,59.0
423,371,60,59.0
763,686,61,60.0
672,593,60,58.99999999999999
706,648,58,57.0
1324,1142,64,62.99999999999999
593,547,56,55.0
523,451,60,59.0
750,676,60,59.0
436,373,59,57.99999999999999
547,419,63,62.0
974,806,57,56.0
839,765,57,56.0
928,842,62,61.0
794,729,61,60.0
429,387,56,55.0
558,492,54,53.0
758,706,57,55.99999999999999
741,647,72,71.0
397,361,57,56.0
818,740,59,58.0
500,425,59,58.0
898,807,62,61.0
1075,979,64,63.0
454,400,59,58.0
1428,1303,61,60.0
814,738,55,54.0
1907,1748,59,58.0
361,307,57,55.99999999999999
846,755,56,55.0
567,463,57,56.0
591,545,59,58.0
1138,1041,58,57.0
659,608,57,56.0
1282,1171,63,62.0
366,327,52,51.0
864,777,59,58.0
382,278,55,54.0
483,446,59,57.99999999999999
1626,1500,59,58.0
739,667,59,58.0
467,383,62,61.0
884,809,64,63.0
303,266,55,54.0
406,365,55,54.0
732,647,61,60.0
766,690,58,56.99999999999999
513,400,64,63.0
407,358,56,55.0
639,555,57,56.0
352,285,55,54.0
1333,1220,63,62.0
1211,1071,63,62.0
780,685,55,54.0
645,573,57,55.99999999999999
944,849,57,56.0
1544,1362,63,62.0
529,484,58,57.0
1125,1014,68,66.99999999999999
479,429,56,55.00000000000001
755,678,58,57.0
642,594,59,58.0
568,479,60,59.0
467,372,53,52.0
548,511,58,57.0
1072,973,61,60.0
371,305,56,55.0
605,561,61,60.0
529,460,56,55.0
699,613,62,61.0
580,460,57,56.0
404,353,59,57.99999999999999
397,344,56,54.99999999999999
569,510,58,57.0
898,840,57,56.0
667,611,64,63.0
730,666,60,58.99999999999999
364,324,60,59.0
1186,1068,60,59.0
734,600,62,60.99999999999999
621,505,62,60.99999999999999
311,297,54,53.0
562,480,58,57.0
793,713,57,56.0
611,504,67,66.0
987,894,65,64.0
599,538,66,65.0
420,331,56,54.99999999999999
628,554,62,61.00000000000001
377,340,57,56.0
645,562,56,55.0
539,476,62,61.0
442,364,57,56.0
585,508,56,54.99999999999999
304,218,53,52.0
605,526,64,63.0
495,390,56,55.0
509,422,57,56.0
421,361,58,56.99999999999999
493,438,66,65.0
417,376,62,61.0
471,386,61,60.0
666,599,64,63.0
590,487,59,58.0
710,650,62,61.0
1011,921,56,55.0
491,451,58,57.0
356,344,58,57.0
511,486,62,61.0
580,489,74,73.0
